drwxrwxrwx   - yarn   hadoop          0 2015-10-20 13:26 /app-logs
drwxr-xr-x   - hbase     hdfs            0 2015-10-24 05:33 /apps/hbase/data/WALs/mure05.cloud.hortonworks.com,16020,1445463087741
-rw-r--r--   2 hbase     hdfs           83 2015-10-24 05:33 /apps/hbase/data/WALs/mure05.cloud.hortonworks.com,16020,1445463087741/mure05.cloud.hortonworks.com%2C16020%2C1445463087741..meta.1445689985520.meta
-rw-r--r--   2 hbase     hdfs           83 2015-10-24 05:32 /apps/hbase/data/WALs/mure05.cloud.hortonworks.com,16020,1445463087741/mure05.cloud.hortonworks.com%2C16020%2C1445463087741.default.1445689930464
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:32 /apps/hbase/data/data
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:32 /apps/hbase/data/data/default/SYSTEM.CATALOG
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.CATALOG/.tabledesc
-rw-r--r--   2 hbase     hdfs          880 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.CATALOG/.tabledesc/.tableinfo.0000000002
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.CATALOG/.tmp
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 15:33 /apps/hbase/data/data/default/SYSTEM.CATALOG/826e2df42648598e671a34a27a2bc06a
-rw-r--r--   2 hbase     hdfs           49 2015-10-21 14:32 /apps/hbase/data/data/default/SYSTEM.CATALOG/826e2df42648598e671a34a27a2bc06a/.regioninfo
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 15:33 /apps/hbase/data/data/default/SYSTEM.CATALOG/826e2df42648598e671a34a27a2bc06a/.tmp
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 15:33 /apps/hbase/data/data/default/SYSTEM.CATALOG/826e2df42648598e671a34a27a2bc06a/0
-rw-r--r--   2 hbase     hdfs        30137 2015-10-21 15:33 /apps/hbase/data/data/default/SYSTEM.CATALOG/826e2df42648598e671a34a27a2bc06a/0/a4030c6e658a4f98a900c0a7c4da6ee7
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.CATALOG/826e2df42648598e671a34a27a2bc06a/recovered.edits
-rw-r--r--   2 hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.CATALOG/826e2df42648598e671a34a27a2bc06a/recovered.edits/5.seqid
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.FUNCTION
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.FUNCTION/.tabledesc
-rw-r--r--   2 hbase     hdfs         1097 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.FUNCTION/.tabledesc/.tableinfo.0000000001
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.FUNCTION/.tmp
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.FUNCTION/ba112f14266c079e4bbe5f3043aae49a
-rw-r--r--   2 hbase     hdfs           50 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.FUNCTION/ba112f14266c079e4bbe5f3043aae49a/.regioninfo
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.FUNCTION/ba112f14266c079e4bbe5f3043aae49a/0
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.FUNCTION/ba112f14266c079e4bbe5f3043aae49a/recovered.edits
-rw-r--r--   2 hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.FUNCTION/ba112f14266c079e4bbe5f3043aae49a/recovered.edits/2.seqid
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/.tabledesc
-rw-r--r--   2 hbase     hdfs          950 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/.tabledesc/.tableinfo.0000000001
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/.tmp
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/00a8af6ce1b09d4755b4924aa4b5cb16
-rw-r--r--   2 hbase     hdfs           58 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/00a8af6ce1b09d4755b4924aa4b5cb16/.regioninfo
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/00a8af6ce1b09d4755b4924aa4b5cb16/0
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/00a8af6ce1b09d4755b4924aa4b5cb16/recovered.edits
-rw-r--r--   2 hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/00a8af6ce1b09d4755b4924aa4b5cb16/recovered.edits/2.seqid
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/01e3eef7f43e8004fbe06c5fdcded76d
-rw-r--r--   2 hbase     hdfs           58 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/01e3eef7f43e8004fbe06c5fdcded76d/.regioninfo
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:33 /apps/hbase/data/data/default/SYSTEM.SEQUENCE/01e3eef7f43e8004fbe06c5fdcded76d/0
